time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/value_loss,train/n_updates,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,resources/cpu_percent,resources/memory_mb,rollout/ep_len_mean,rollout/ep_rew_mean
13,1,49152,3730,,,,,,,,,,,,,,
29,2,98304,3325,-0.0012111667572753503,-0.0003057718276977539,0.0044114175,-1.0967133402824403,1473.8129348754883,10,0.0047566731770833336,0.0001,0.2,457.4015197753906,,,,
47,3,147456,3082,-0.0016016165405744686,0.0023612380027770996,0.004375336,-1.0926716183622678,165.81477286815644,20,0.012333170572916666,0.0001,0.2,126.9945068359375,1.8,11011.21484375,,
68,4,196608,2855,-0.002958500314465103,0.3670855164527893,0.004899282,-1.0843654602766037,7.197413490588466,30,0.027801513671875,0.0001,0.2,0.2770446836948395,,,,
94,5,245760,2610,-0.00373966701348157,0.5670866966247559,0.005116738,-1.0830033034086228,2.219593592484792,40,0.025160725911458334,0.0001,0.2,0.11775387823581696,1.8,11399.3671875,,
124,6,294912,2372,-0.0049236320027072605,0.8997968435287476,0.0052749454,-1.0752758453289668,0.07481094327134391,50,0.027333577473958332,0.0001,0.2,0.011580079793930054,,,,
157,7,344064,2179,-0.006098464981187135,0.9258576780557632,0.004907254,-1.0746314426263173,0.038641626193809016,60,0.040391031901041666,0.0001,0.2,-0.008360188454389572,,,,
196,8,393216,2005,-0.0065029956245174015,0.9256010875105858,0.0055737193,-1.0661382680137952,0.025204716661634544,70,0.041243489583333334,0.0001,0.2,-0.014256445690989494,0.0,11688.9609375,,
237,9,442368,1862,-0.005966135233757086,0.9347830265760422,0.0052048173,-1.062286337216695,0.016518309518384438,80,0.028765869140625,0.0001,0.2,-0.012940519489347935,,,,
275,10,491520,1785,-0.00668593520046367,0.9374945536255836,0.0056082257,-1.054454895357291,0.010995061907063548,90,0.040887451171875,0.0001,0.2,-0.017686612904071808,2.1,12167.06640625,20000.0,-1000.0
290,11,540672,1862,-0.0012082810242039462,0.014217734336853027,0.0042521064,-1.0453432207306226,286.6939987182617,100,0.0155517578125,0.0001,0.2,3.4618163108825684,,,20000.0,-1000.0
306,12,589824,1923,-0.0007958417370294531,0.018282175064086914,0.005307061,-1.0424341902136802,865.0099175135294,110,0.002994791666666667,0.0001,0.2,312.0350036621094,,,20000.0,-1000.0
325,13,638976,1962,-0.00041387932093736406,0.07884371280670166,0.0024554173,-1.0393699377775192,200.2324899514516,120,6.103515625e-06,0.0001,0.2,88.39093780517578,8.2,6900.50390625,20000.0,-1000.0
347,14,688128,1981,-0.0014309192149084993,0.2664828896522522,0.0038472998,-1.034925410648187,11.066073064009348,130,0.00560302734375,0.0001,0.2,15.617677688598633,,,20000.0,-1000.0
372,15,737280,1979,-0.002474023586061473,0.3998115658760071,0.004255772,-1.023363435268402,1.0661701617762447,140,0.007877604166666666,0.0001,0.2,0.23910196125507355,0.0,7405.10546875,20000.0,-1000.0
401,16,786432,1959,-0.0020429367063722263,0.38684189319610596,0.004461396,-1.0277159964044889,0.1813490259461105,150,0.017097981770833333,0.0001,0.2,0.07696083188056946,,,20000.0,-1000.0
434,17,835584,1922,-0.003097842321828163,0.19837552309036255,0.008413129,-1.0323110009233156,0.3777672367791335,160,0.04466959635416667,0.0001,0.2,0.017614778131246567,,,20000.0,-1000.0
472,18,884736,1872,-0.00631240809840771,0.4355733394622803,0.005416576,-1.0325675760706265,0.03774933877090613,170,0.03799845377604167,0.0001,0.2,0.0007907990366220474,0.0,7350.2421875,20000.0,-1000.0
514,19,933888,1815,-0.009050278730380038,0.4796961545944214,0.005818927,-1.0355010410149892,0.017156162850248315,180,0.05621541341145833,0.0001,0.2,-0.01901295594871044,,,20000.0,-1000.0
