rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,train/n_updates,train/policy_loss,resources/cpu_percent,resources/memory_mb
1128.89,221,2218,491520,15,-4924.6338593499995,0.0002,-2.384185791015625e-07,28912.73046875,-0.7544586062431335,14,-56.708656311035156,8.3,12077.578125
1228.6,236,2216,524288,16,-5413.85909931,0.0002,1.9669532775878906e-06,7571.20751953125,-0.7508161067962646,15,-38.15824508666992,,
1315.21,252,2208,557056,17,-6301.6687687,0.0002,8.344650268554688e-07,28583.72265625,-0.7283350825309753,16,-37.454872131347656,,
1181.94,268,2200,589824,18,-5286.728563490001,0.0002,-1.7881393432617188e-06,11723.6513671875,-0.7190386056900024,17,-33.63427734375,34.5,11284.80859375
1174.51,283,2193,622592,19,-4892.793947009999,0.0002,-2.384185791015625e-07,34154.65625,-0.712125301361084,18,-35.50640106201172,,
1260.67,299,2188,655360,20,-4207.89591998,0.0002,5.424022674560547e-06,4438.99853515625,-0.6738103628158569,19,-23.27739143371582,1.8,11854.3671875
1220.59,313,2192,688128,21,-2866.9569832399998,0.0002,1.0132789611816406e-06,3443.48681640625,-0.6754220128059387,20,-16.282894134521484,,
1282.69,329,2186,720896,22,-2879.952881570001,0.0002,1.3709068298339844e-06,3245.06396484375,-0.7160844206809998,21,-15.516884803771973,14.0,12447.5390625
1369.73,346,2176,753664,23,-3206.2870433700004,0.0002,-8.344650268554688e-07,3626.3701171875,-0.7283008098602295,22,-13.98806381225586,,
1675.13,362,2171,786432,24,-4463.1819984,0.0002,-4.76837158203125e-07,2543.14404296875,-0.7171982526779175,23,-11.192780494689941,,
1599.12,376,2174,819200,25,-3053.67001437,0.0002,1.0132789611816406e-06,2200.2294921875,-0.678355872631073,24,-6.332869529724121,10.4,12384.2578125
1849.25,391,2178,851968,26,-3088.1862152299996,0.0002,-2.86102294921875e-06,885.83837890625,-0.657088577747345,25,-1.3507733345031738,,
1848.8,406,2175,884736,27,-2801.3718665499996,0.0002,-1.0728836059570312e-06,1003.326904296875,-0.6852155923843384,26,-1.4542453289031982,10.4,12387.1015625
1739.75,420,2180,917504,28,-1986.6482466900009,0.0002,3.635883331298828e-06,470.5212097167969,-0.5875082015991211,27,-0.033041924238204956,,
1664.84,435,2180,950272,29,-763.23613267,0.0002,-3.6954879760742188e-06,765.5350952148438,-0.7071312665939331,28,-1.2585675716400146,,
1644.8,451,2177,983040,30,-474.92421381,0.0002,-1.0609626770019531e-05,206.85885620117188,-0.7114355564117432,29,-0.6293119192123413,0.0,12349.87890625
1272.68,467,2174,1015808,31,-197.98094650999997,0.0002,-1.0728836059570312e-06,39.41172790527344,-0.6988447904586792,30,1.1894131898880005,,
1091.66,482,2171,1048576,32,-144.56368364,0.0002,5.781650543212891e-06,63.85955047607422,-0.6984704732894897,31,1.0299808979034424,2.1,12656.734375
779.76,498,2167,1081344,33,-118.56268675000001,0.0002,-1.5497207641601562e-06,85.58423614501953,-0.6969045400619507,32,1.4927647113800049,,
685.22,515,2162,1114112,34,-64.54538395,0.0002,7.271766662597656e-06,761.1724853515625,-0.6959894299507141,33,1.672303557395935,,
860.7,531,2156,1146880,35,-68.94809892,0.0002,3.2782554626464844e-06,92.54605102539062,-0.6912736296653748,34,0.7740410566329956,4.2,12985.71484375
968.89,547,2154,1179648,36,-55.79293685,0.0002,2.9802322387695312e-06,62.17182922363281,-0.6889605522155762,35,0.7503479719161987,,
894.08,563,2151,1212416,37,-45.34475354,0.0002,2.205371856689453e-06,58.657676696777344,-0.6828128099441528,36,0.9813673496246338,6.1,11574.3359375
499.64,580,2143,1245184,38,-23.410644469999998,0.0002,1.6093254089355469e-06,60.40115737915039,-0.6739718317985535,37,1.2346315383911133,,
856.52,597,2138,1277952,39,-44.64275634,0.0002,-5.0067901611328125e-06,85.32645416259766,-0.677262008190155,38,0.9613302946090698,,
