time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/explained_variance,train/value_loss,train/entropy_loss,train/learning_rate,train/policy_loss,train/n_updates,resources/memory_mb,resources/cpu_percent
96256,42,47,2270,-5.2226643562316895,0.2800745964050293,-1.069629192352295,0.0002,-0.07118396461009979,46,,
98304,43,48,2266,-10.845146179199219,0.3091260492801666,-1.0702823400497437,0.0002,-0.16386568546295166,47,,
100352,44,49,2264,-5.077991008758545,0.37336891889572144,-1.070777177810669,0.0002,-0.09754239022731781,48,,
102400,45,50,2263,-7.979240417480469,0.30723947286605835,-1.0738548040390015,0.0002,-0.10502295941114426,49,,
104448,46,51,2261,-8.773636817932129,0.24883034825325012,-1.0727157592773438,0.0002,-0.09403114020824432,50,,
106496,47,52,2259,-10.17952823638916,0.23850153386592865,-1.0737369060516357,0.0002,-0.06940186768770218,51,,
108544,48,53,2255,-5.5366621017456055,0.34063392877578735,-1.0778648853302002,0.0002,-0.05725269392132759,52,,
110592,49,54,2243,-7.757839202880859,0.19117024540901184,-1.0779093503952026,0.0002,-0.13187254965305328,53,,
112640,50,55,2236,-2.0850489139556885,0.31231921911239624,-1.0781879425048828,0.0002,-0.051770854741334915,54,,
114688,51,56,2230,-10.204412460327148,0.27479982376098633,-1.0783636569976807,0.0002,-0.16886121034622192,55,,
116736,52,57,2225,-8.47221851348877,0.18976572155952454,-1.077666997909546,0.0002,-0.07196461409330368,56,,
118784,53,58,2220,-3.792675018310547,0.22216877341270447,-1.0778286457061768,0.0002,-0.03443368524312973,57,,
120832,54,59,2217,-14.496193885803223,0.19474312663078308,-1.0787403583526611,0.0002,-0.11847881227731705,58,,
122880,55,60,2214,-4.312763690948486,0.13186171650886536,-1.07907235622406,0.0002,-0.01492229662835598,59,,
124928,56,61,2210,-0.23758673667907715,0.6615824699401855,-1.07818603515625,0.0002,-0.21294806897640228,60,,
126976,57,62,2206,-4.404768466949463,0.2067398726940155,-1.0787904262542725,0.0002,-0.035470880568027496,61,,
129024,58,63,2200,-6.091761112213135,0.09914003312587738,-1.0791904926300049,0.0002,-0.09710855782032013,62,,
131072,59,64,2197,-5.5936665534973145,0.12243106961250305,-1.0789380073547363,0.0002,-0.0021826056763529778,63,,
133120,60,65,2193,-6.060035705566406,0.0948580801486969,-1.0796432495117188,0.0002,-0.1046856939792633,64,,
135168,61,66,2188,-5.8248467445373535,0.13917413353919983,-1.079885721206665,0.0002,-0.025607571005821228,65,,
137216,62,67,2185,-19.461023330688477,0.12992382049560547,-1.0807626247406006,0.0002,-0.09400239586830139,66,,
139264,63,68,2179,-16.00949478149414,0.09004980325698853,-1.0801129341125488,0.0002,-0.00802421011030674,67,,
141312,64,69,2174,-5.580732345581055,0.18124356865882874,-1.081573724746704,0.0002,-0.11311930418014526,68,,
143360,66,70,2169,-20.429704666137695,0.12159712612628937,-1.0808665752410889,0.0002,-0.03282436728477478,69,,
145408,67,71,2164,-14.250511169433594,0.12810969352722168,-1.0807644128799438,0.0002,-0.026094164699316025,70,,
147456,68,72,2157,-12.475546836853027,0.09029540419578552,-1.0794146060943604,0.0002,-0.020346270874142647,71,,
149504,69,73,2149,-14.092052459716797,0.1231260597705841,-1.0818114280700684,0.0002,0.03457584232091904,72,,
151552,70,74,2144,-18.138614654541016,0.11643018573522568,-1.081581950187683,0.0002,-0.050919003784656525,73,,
153600,71,75,2137,-7.690361022949219,0.07769531011581421,-1.0807417631149292,0.0002,0.04006161540746689,74,,
155648,73,76,2131,-13.892647743225098,0.11342750489711761,-1.082451581954956,0.0002,-0.06643182039260864,75,,
157696,74,77,2122,-5.3344221115112305,0.10273042321205139,-1.0810656547546387,0.0002,0.020332008600234985,76,,
159744,75,78,2115,-8.982684135437012,0.10882425308227539,-1.0821397304534912,0.0002,-0.06798140704631805,77,,
161792,76,79,2105,-7.537859916687012,0.1748855710029602,-1.0823185443878174,0.0002,-0.01625613309442997,78,9719.51953125,12.3
163840,78,80,2098,-12.158469200134277,0.08399578928947449,-1.0824825763702393,0.0002,-0.06461454927921295,79,,
165888,79,81,2091,-12.390273094177246,0.10764440894126892,-1.082669973373413,0.0002,0.009232652373611927,80,,
167936,80,82,2083,-10.220963478088379,0.1088498905301094,-1.0832531452178955,0.0002,-0.06582143902778625,81,,
169984,81,83,2076,-8.48938274383545,0.11389659345149994,-1.0833070278167725,0.0002,0.007750986609607935,82,,
172032,83,84,2069,-7.080873489379883,0.13258329033851624,-1.0837934017181396,0.0002,-0.06128086894750595,83,,
174080,84,85,2062,-8.559952735900879,0.14085839688777924,-1.0840587615966797,0.0002,-0.006444891914725304,84,,
176128,85,86,2054,-7.016426086425781,0.05801873654127121,-1.083087682723999,0.0002,-0.050051286816596985,85,,
178176,87,87,2047,-16.50982093811035,0.07016777247190475,-1.0832452774047852,0.0002,0.012305041775107384,86,,
180224,88,88,2038,-3.3998212814331055,0.12198690325021744,-1.0847084522247314,0.0002,-0.028755664825439453,87,,
182272,89,89,2031,-1.89988112449646,0.13469399511814117,-1.0857291221618652,0.0002,0.04286126047372818,88,,
184320,91,90,2024,-13.962311744689941,0.15694762766361237,-1.08646821975708,0.0002,-0.07102715969085693,89,,
186368,92,91,2017,-16.33643913269043,0.04924047738313675,-1.0860553979873657,0.0002,0.005081257317215204,90,,
188416,93,92,2010,-7.417442321777344,0.08207998424768448,-1.0864031314849854,0.0002,-0.055448662489652634,91,,
190464,95,93,2003,-4.230312824249268,0.06176958978176117,-1.0856201648712158,0.0002,0.024602504447102547,92,,
192512,96,94,1996,-14.21607494354248,0.0982048511505127,-1.0864925384521484,0.0002,-0.07022140920162201,93,,
194560,97,95,1988,-14.329720497131348,0.06346500664949417,-1.0864205360412598,0.0002,0.014490997418761253,94,,
196608,99,96,1981,-8.639167785644531,0.05610135197639465,-1.086836338043213,0.0002,-0.046921681612730026,95,,
198656,100,97,1971,-9.870237350463867,0.06848911195993423,-1.0870260000228882,0.0002,0.018408795818686485,96,,
200704,102,98,1963,-18.473297119140625,0.083072230219841,-1.0883151292800903,0.0002,-0.05180800333619118,97,,
202752,103,99,1954,-11.459754943847656,0.10797826200723648,-1.087539792060852,0.0002,0.01575256511569023,98,,
204800,105,100,1945,-9.618864059448242,0.05986805260181427,-1.0880560874938965,0.0002,-0.04786171019077301,99,,
206848,106,101,1937,-16.381179809570312,0.0719357579946518,-1.088014841079712,0.0002,0.009612174704670906,100,,
208896,108,102,1930,-4.240757942199707,0.08071582019329071,-1.0886459350585938,0.0002,-0.0317661315202713,101,,
210944,110,103,1916,-17.080917358398438,0.06575813889503479,-1.088381290435791,0.0002,0.008377098478376865,102,,
212992,111,104,1902,-21.16586685180664,0.07003016769886017,-1.0886553525924683,0.0002,-0.04974772781133652,103,,
215040,113,105,1892,-15.004600524902344,0.046304479241371155,-1.0882346630096436,0.0002,0.015539050102233887,104,,
217088,115,106,1885,-7.635656356811523,0.050012316554784775,-1.0881012678146362,0.0002,-0.040208179503679276,105,,
219136,116,107,1877,-14.272649765014648,0.058688145130872726,-1.0880980491638184,0.0002,0.01535252295434475,106,,
221184,118,108,1869,-0.8347129821777344,0.16400867700576782,-1.089327335357666,0.0002,-0.007517772261053324,107,,
223232,119,109,1862,-20.134990692138672,0.08621206879615784,-1.0896209478378296,0.0002,-0.044246263802051544,108,,
225280,121,110,1850,-25.762948989868164,0.052160173654556274,-1.0896503925323486,0.0002,0.028386274352669716,109,,
227328,123,111,1836,-5.664248943328857,0.07200680673122406,-1.0896031856536865,0.0002,-0.03667964041233063,110,,
229376,125,112,1824,-15.035240173339844,0.06232868880033493,-1.089449405670166,0.0002,0.022260624915361404,111,,
231424,127,113,1812,-8.89547061920166,0.05504327267408371,-1.0895087718963623,0.0002,-0.03654007241129875,112,,
233472,129,114,1800,-8.575704574584961,0.03534913808107376,-1.0891139507293701,0.0002,0.028146501630544662,113,,
235520,131,115,1788,-6.682682037353516,0.039845287799835205,-1.089312195777893,0.0002,-0.02518126741051674,114,,
