time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/explained_variance,train/value_loss,train/learning_rate,train/policy_loss,train/n_updates,train/entropy_loss,resources/memory_mb,resources/cpu_percent
1484,80,55,81920,-1.33162260055542,0.11639396846294403,0.0002,-0.029835805296897888,79,-1.0920045375823975,,
1482,81,55,82944,-3.5526084899902344,0.09629681706428528,0.0002,-0.008268546313047409,80,-1.0925414562225342,,
1479,82,56,83968,-1.9406790733337402,0.1076991930603981,0.0002,-0.04084275662899017,81,-1.092858076095581,,
1477,83,57,84992,-0.9351563453674316,0.0724240392446518,0.0002,0.008233473636209965,82,-1.0926947593688965,,
1474,84,58,86016,-3.055394172668457,0.13868719339370728,0.0002,-0.06124168634414673,83,-1.093226432800293,,
1467,85,59,87040,-2.933718204498291,0.0781577005982399,0.0002,-0.02314968779683113,84,-1.0932905673980713,,
1460,86,60,88064,-8.35130786895752,0.08765643835067749,0.0002,-0.033452995121479034,85,-1.093484878540039,,
1454,87,61,89088,-9.41349983215332,0.07064221799373627,0.0002,-0.015349040739238262,86,-1.0931658744812012,,
1448,88,62,90112,-4.833927631378174,0.06492513418197632,0.0002,-0.014103200286626816,87,-1.0936670303344727,,
1442,89,63,91136,-4.037550449371338,0.0879804790019989,0.0002,-0.027887538075447083,88,-1.0935015678405762,,
1440,90,63,92160,-0.7436511516571045,0.08450831472873688,0.0002,-0.0037876747082918882,89,-1.0935149192810059,,
1436,91,64,93184,-3.025259494781494,0.13003651797771454,0.0002,-0.06814804673194885,90,-1.093751311302185,,
1430,92,65,94208,-2.620678186416626,0.06674185395240784,0.0002,0.013376189395785332,91,-1.0940804481506348,,
1426,93,66,95232,-6.180423736572266,0.04928030073642731,0.0002,-0.014620611444115639,92,-1.0938524007797241,,
1421,94,67,96256,-9.65188217163086,0.08298566937446594,0.0002,-0.044278353452682495,93,-1.0938700437545776,,
1418,95,68,97280,-9.429795265197754,0.04598110169172287,0.0002,-0.015247305855154991,94,-1.093748927116394,,
1411,96,69,98304,-5.172456741333008,0.11171682924032211,0.0002,-0.020406449213624,95,-1.0941886901855469,,
1403,97,70,99328,-4.422211647033691,0.06786540150642395,0.0002,-0.004543796647340059,96,-1.0943642854690552,,
1397,98,71,100352,-6.817956447601318,0.08738669008016586,0.0002,-0.04263553023338318,97,-1.0941216945648193,,
1389,99,72,101376,-6.032639980316162,0.08202677220106125,0.0002,-0.00402551144361496,98,-1.0940459966659546,,
1383,100,73,102400,-10.84820556640625,0.0447419211268425,0.0002,-0.03329261392354965,99,-1.0941120386123657,,
1377,101,75,103424,-4.043644905090332,0.12226457893848419,0.0002,-0.01967824436724186,100,-1.0942915678024292,,
1375,102,75,104448,-13.140889167785645,0.06971586495637894,0.0002,-0.01887032762169838,101,-1.0938725471496582,,
1372,103,76,105472,-6.80155611038208,0.13913460075855255,0.0002,-0.024662353098392487,102,-1.0940742492675781,,
1369,104,77,106496,-11.853791236877441,0.0647318884730339,0.0002,-0.012929004617035389,103,-1.0942528247833252,,
1367,105,78,107520,-16.272310256958008,0.055396370589733124,0.0002,-0.03327353671193123,104,-1.0946102142333984,,
1364,106,79,108544,-1.0278120040893555,0.2230318933725357,0.0002,-0.026717254891991615,105,-1.0943591594696045,,
1358,107,80,109568,-12.056229591369629,0.037358738481998444,0.0002,-0.026637019589543343,106,-1.0945582389831543,,
1353,108,81,110592,-14.616286277770996,0.026852324604988098,0.0002,-8.585210889577866e-05,107,-1.0941780805587769,,
1346,109,82,111616,-7.389959335327148,0.06354054063558578,0.0002,-0.018292218446731567,108,-1.0942957401275635,,
1342,110,83,112640,-4.356961250305176,0.040563829243183136,0.0002,-0.006037420593202114,109,-1.094403624534607,,
1340,111,84,113664,-3.790700912475586,0.06741829216480255,0.0002,-0.0002585574984550476,110,-1.0945653915405273,,
1337,112,85,114688,-4.500194549560547,0.038029253482818604,0.0002,-0.021921657025814056,111,-1.0946245193481445,,
1331,113,86,115712,-9.114311218261719,0.08595599979162216,0.0002,-0.00826743058860302,112,-1.0945651531219482,,
1327,114,87,116736,-11.042755126953125,0.035085249692201614,0.0002,-0.027468115091323853,113,-1.0947902202606201,,
1323,115,89,117760,-6.570398807525635,0.027067698538303375,0.0002,0.0005542859435081482,114,-1.0945626497268677,,
1319,116,90,118784,-9.293742179870605,0.0728374719619751,0.0002,-0.010763492435216904,115,-1.0944488048553467,,
1316,117,90,119808,-2.6198954582214355,0.0861506313085556,0.0002,-0.025669988244771957,116,-1.0943970680236816,,
1311,118,92,120832,-3.9190845489501953,0.12645217776298523,0.0002,-0.02369755692780018,117,-1.0943881273269653,13526.9609375,37.5
1308,119,93,121856,-10.198766708374023,0.0407460555434227,0.0002,-0.0035421636421233416,118,-1.0940968990325928,,
1298,120,94,122880,-3.7508816719055176,0.0809977650642395,0.0002,-0.009240919724106789,119,-1.0945062637329102,,
1294,121,95,123904,-6.432371616363525,0.04756966978311539,0.0002,-0.02879084087908268,120,-1.094327688217163,,
1291,122,96,124928,-7.987798690795898,0.06728196144104004,0.0002,-0.011993900872766972,121,-1.0944433212280273,,
1288,123,97,125952,-19.05465316772461,0.028870604932308197,0.0002,-0.008805776946246624,122,-1.094728946685791,,
1283,124,98,126976,-8.388298988342285,0.04829680919647217,0.0002,-0.013367529958486557,123,-1.0946602821350098,,
1280,125,99,128000,-1.9507465362548828,0.05716226249933243,0.0002,0.015324238687753677,124,-1.094549298286438,,
1277,126,101,129024,-9.303153991699219,0.023774035274982452,0.0002,-0.03652992099523544,125,-1.0942710638046265,,
1273,127,102,130048,-7.567681312561035,0.03261001035571098,0.0002,0.007043392863124609,126,-1.0944068431854248,,
1270,128,103,131072,-6.224762916564941,0.03607456386089325,0.0002,-0.0017157953698188066,127,-1.0944178104400635,,
1266,129,104,132096,-14.8927583694458,0.03400881588459015,0.0002,-0.013827645219862461,128,-1.094343662261963,,
1264,130,105,133120,-13.526915550231934,0.03677207976579666,0.0002,-0.010054846294224262,129,-1.0944170951843262,,
1261,131,106,134144,-5.373174667358398,0.016976147890090942,0.0002,0.01558682695031166,130,-1.0945124626159668,,
1259,132,107,135168,-12.960944175720215,0.01869557425379753,0.0002,-0.022136293351650238,131,-1.0948474407196045,,
1256,133,108,136192,-13.242574691772461,0.030314944684505463,0.0002,-0.0014119374100118876,132,-1.09456467628479,,
1252,134,109,137216,-20.44013786315918,0.04005040228366852,0.0002,-0.005081657785922289,133,-1.0947537422180176,,
1248,135,110,138240,-2.257505178451538,0.07656058669090271,0.0002,0.016941232606768608,134,-1.0947380065917969,,
1244,136,111,139264,-2.387512683868408,0.09360653162002563,0.0002,-0.0446215458214283,135,-1.0949137210845947,,
1242,137,112,140288,-12.236883163452148,0.026410933583974838,0.0002,-0.011253515258431435,136,-1.094679832458496,,
1239,138,114,141312,-9.769369125366211,0.011115028522908688,0.0002,-0.0009811556665226817,137,-1.0950987339019775,,
1236,139,115,142336,-5.92786169052124,0.02989160269498825,0.0002,0.003220085985958576,138,-1.095090389251709,,
1233,140,116,143360,-6.734252452850342,0.049781329929828644,0.0002,0.00045496784150600433,139,-1.0952612161636353,,
1230,141,117,144384,-4.89335298538208,0.03171205520629883,0.0002,-0.017052151262760162,140,-1.0950188636779785,,
1228,142,118,145408,-13.987102508544922,0.032386552542448044,0.0002,-0.006708575412631035,141,-1.095024824142456,,
1224,143,119,146432,-17.09097671508789,0.03490414097905159,0.0002,-0.008491935208439827,142,-1.0952532291412354,,
1221,144,120,147456,-8.612407684326172,0.049669213593006134,0.0002,-0.004632027819752693,143,-1.0952643156051636,,
1219,145,121,148480,-5.246127128601074,0.0861622542142868,0.0002,-0.007968543097376823,144,-1.0955021381378174,,
1215,146,123,149504,-8.174513816833496,0.1268402636051178,0.0002,-0.03817374259233475,145,-1.0950634479522705,,
1211,147,124,150528,-5.415212154388428,0.014984925277531147,0.0002,-0.010565530508756638,146,-1.0950405597686768,,
1209,148,125,151552,-15.045341491699219,0.030325716361403465,0.0002,-0.00537137221544981,147,-1.0950548648834229,,
1206,149,126,152576,-10.276700019836426,0.07018407434225082,0.0002,-0.01614644005894661,148,-1.0950331687927246,,
1202,150,127,153600,-9.122384071350098,0.025768794119358063,0.0002,0.0047006914392113686,149,-1.095108151435852,,
1199,151,128,154624,-10.17743968963623,0.039223212748765945,0.0002,-0.02600317820906639,150,-1.0950509309768677,,
1197,152,130,155648,-7.221460342407227,0.03286837786436081,0.0002,-0.004659093916416168,151,-1.0955281257629395,,
1193,153,131,156672,-9.628880500793457,0.08768656849861145,0.0002,0.0024233278818428516,152,-1.095190167427063,,
1190,154,132,157696,-11.763324737548828,0.061012186110019684,0.0002,-0.02205406315624714,153,-1.095191240310669,,
