time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/entropy_loss,train/value_loss,train/learning_rate,train/policy_loss,train/n_updates,train/explained_variance,resources/cpu_percent,resources/memory_mb
43,88064,649,135,-1.094267725944519,13489.62109375,0.0001,-126.81358337402344,42,-0.005374550819396973,,
44,90112,678,132,-1.094587802886963,13488.77734375,0.0001,-127.14495849609375,43,-0.004719972610473633,5.5,10739.66796875
45,92160,708,130,-1.0940101146697998,13495.2734375,0.0001,-126.5400161743164,44,0.008777022361755371,,
46,94208,738,127,-1.0943785905838013,13489.32421875,0.0001,-126.45204162597656,45,-0.0074079036712646484,,
47,96256,770,124,-1.0953433513641357,13503.421875,0.0001,-127.25865173339844,46,0.006918907165527344,8.3,10884.87109375
48,98304,802,122,-1.0942749977111816,13491.201171875,0.0001,-126.70707702636719,47,-0.008789539337158203,,
49,100352,835,120,-1.0943121910095215,13488.232421875,0.0001,-126.54289245605469,48,-0.007511615753173828,0.0,10976.42578125
50,102400,868,117,-1.0949008464813232,13494.0146484375,0.0001,-127.08937072753906,49,0.0015040040016174316,,
51,104448,903,115,-1.0950617790222168,13495.328125,0.0001,-127.08253479003906,50,-0.019803404808044434,,
52,106496,938,113,-1.0947259664535522,13479.876953125,0.0001,-126.822265625,51,0.00502169132232666,4.2,10732.43359375
53,108544,974,111,-1.0945862531661987,13471.49609375,0.0001,-127.04641723632812,52,0.02110302448272705,,
54,110592,1012,109,-1.0939862728118896,13475.6171875,0.0001,-126.4832763671875,53,-0.005429387092590332,8.3,10995.25390625
55,112640,1054,106,-1.094895601272583,13492.85546875,0.0001,-126.53826904296875,54,-0.011849641799926758,,
