time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/value_loss,train/entropy_loss,train/policy_loss,train/learning_rate,train/explained_variance,train/n_updates,resources/cpu_percent,resources/memory_mb
1,391,5,2048,,,,,,,,
2,384,10,4096,22.952651977539062,-1.0986053943634033,-1.5228029489517212,0.0001,0.0007813572883605957,1,,
3,359,17,6144,1.4389691352844238,-1.0985792875289917,-1.242185354232788,0.0001,-9.613773345947266,2,0.0,11566.3828125
4,335,24,8192,1.3551673889160156,-1.098487138748169,-1.2005293369293213,0.0001,-16.840761184692383,3,,
5,315,32,10240,1.2786734104156494,-1.0984374284744263,-1.147607684135437,0.0001,-10.602665901184082,4,12.5,11593.59375
