time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/entropy_loss,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,resources/cpu_percent,resources/memory_mb,rollout/ep_rew_mean,rollout/ep_len_mean
11,1,32768,2789,,,,,,,,,,,,,,
24,2,65536,2649,0.00018417835235595703,0.2,0.0056599923,-0.0013533509692933877,1030.7366943359375,-1.0964831031858921,10,1840.0312065124513,0.00635986328125,0.0001,,,,
39,3,98304,2516,0.049618422985076904,0.2,0.005039194,-0.0017400900251232088,0.41119590401649475,-1.0879934176802635,20,60.24102593697607,0.026641845703125,0.0001,0.0,9933.8984375,,
55,4,131072,2350,0.7215194404125214,0.2,0.0058114952,-0.005410899640992284,0.08132823556661606,-1.0797825776040555,30,0.2615093793720007,0.035601806640625,0.0001,,,,
77,5,163840,2103,0.33321869373321533,0.2,0.0047851754,-0.0034785850017215124,0.21745750308036804,-1.0830521121621133,40,2.0898886234499514,0.019049072265625,0.0001,3.6,6747.4296875,,
99,6,196608,1984,0.866001695394516,0.2,0.005358941,-0.005384293889801483,0.0012739002704620361,-1.0803934931755066,50,0.0523077359655872,0.0288848876953125,0.0001,,,,
123,7,229376,1863,0.8973172828555107,0.2,0.006296668,-0.005994346000079531,-0.009367686696350574,-1.07651656717062,60,0.02975190320285037,0.04017333984375,0.0001,,,,
150,8,262144,1744,0.910835437476635,0.2,0.0059087574,-0.006482900285482174,-0.012508073821663857,-1.0644207470119,70,0.01909944473882206,0.0363616943359375,0.0001,0.0,7016.5703125,,
179,9,294912,1639,0.9149931371212006,0.2,0.0051956447,-0.0064188016775005964,-0.015564465895295143,-1.0604143165051938,80,0.01351578500471078,0.0347625732421875,0.0001,,,,
206,10,327680,1583,0.9043497666716576,0.2,0.005317224,-0.007070972342626191,-0.014387568458914757,-1.0468160323798656,90,0.010895746981259436,0.032012939453125,0.0001,0.0,6981.4453125,-1000.0,20000.0
217,11,360448,1653,0.007803797721862793,0.2,0.001912883,-0.0020407391049957367,36.81208038330078,-1.044691728055477,100,229.5478519797325,0.000994873046875,0.0001,,,-1000.0,20000.0
230,12,393216,1703,0.013517498970031738,0.2,0.0012518676,-0.0004670916547183879,975.7587890625,-1.0413452297449113,110,1506.6192569732666,0.0,0.0001,,,-1000.0,20000.0
246,13,425984,1726,0.14453279972076416,0.2,0.00329433,-0.0016081667490652762,58.63901138305664,-1.033897975832224,120,37.29307045117021,0.004302978515625,0.0001,14.0,7021.265625,-1000.0,20000.0
264,14,458752,1735,0.16648870706558228,0.2,0.004939042,-0.002146630514471326,1.2085459232330322,-1.0122097119688989,130,11.664888934791088,0.0140777587890625,0.0001,,,-1000.0,20000.0
284,15,491520,1727,0.5741175413131714,0.2,0.0033022305,-0.00221290163899539,0.08367746323347092,-1.024302326887846,140,0.24231634074822067,0.0065155029296875,0.0001,2.1,7141.05859375,-1000.0,20000.0
306,16,524288,1709,0.5486632883548737,0.2,0.0025080796,-0.002365933055989444,0.05277128145098686,-1.0293091900646687,150,0.1654941586777568,0.0052947998046875,0.0001,,,-1000.0,20000.0
333,17,557056,1672,0.6492908298969269,0.2,0.0052483077,-0.004024702689639526,0.034305598586797714,-1.009053960070014,160,0.1189894862473011,0.0206695556640625,0.0001,,,-1000.0,20000.0
360,18,589824,1634,0.6403911113739014,0.2,0.0052354466,-0.005759923299774527,0.0009328164160251617,-1.001182346791029,170,0.06722289726603776,0.0240142822265625,0.0001,10.7,7387.83984375,-1000.0,20000.0
391,19,622592,1590,0.6935791969299316,0.2,0.004628054,-0.006030622009711805,-0.0026428010314702988,-0.9974956665188074,180,0.040386780735570935,0.0263916015625,0.0001,,,-1000.0,20000.0
413,20,655360,1584,0.6881271600723267,0.2,0.0056678746,-0.00856592894269852,-0.01584758423268795,-1.0028802383691073,190,0.023490539169870317,0.0449615478515625,0.0001,4.2,7001.390625,-1000.0,20000.0
426,21,688128,1614,0.06285220384597778,0.2,0.0050443765,-0.0012149028116255067,659.7045288085938,-1.008228749781847,200,1043.2030165672302,0.0416168212890625,0.0001,,,-1000.0,20000.0
440,22,720896,1636,0.1415967345237732,0.2,0.0027657184,-0.0007735510116617661,230.06219482421875,-1.0105388849973678,210,689.4704734802247,0.001373291015625,0.0001,4.2,7418.5625,-1000.0,20000.0
456,23,753664,1650,0.34828001260757446,0.2,0.003983236,-0.0014818650437518955,28.333126068115234,-1.0067496456205844,220,58.14493333399296,0.003680419921875,0.0001,,,-1000.0,20000.0
