rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/n_updates,train/loss,train/clip_range,train/entropy_loss,resources/cpu_percent,resources/memory_mb
20000.0,9649152,-162.31459632000002,1,12,3878,,,,,,,,,,,,
20000.0,9698304,-162.31459632000002,2,27,3598,8e-05,0.12637770175933838,-0.0005427677187981317,0.0029500325520833335,0.0020779509,10.730436315139135,784,5.595887184143066,0.2,-0.4775860443090399,,
20000.0,9747456,-162.31459632000002,3,44,3336,8e-05,0.11035573482513428,-0.0004710027521165709,0.0017852783203125,0.00083730154,10.084337532520294,788,4.225395202636719,0.2,-0.4809472855801384,48.1,12663.3125
20000.0,9796608,-162.31459632000002,4,62,3123,8e-05,0.02770364284515381,-0.0005311899337054152,0.0032246907552083335,0.002506838,10.608946204185486,792,5.047365188598633,0.2,-0.4627144041781624,,
20000.0,9845760,-162.31459632000002,5,84,2904,8e-05,0.0139235258102417,-0.0004526283106921862,0.001251220703125,0.00076937414,12.553785314162573,796,5.951643466949463,0.2,-0.4702547801037629,0.0,12911.80078125
20000.0,9894912,-162.31459632000002,6,111,2653,8e-05,0.02589017152786255,-0.0004174623463768512,0.0012868245442708333,0.00044053272,16.149983565012615,800,8.187337875366211,0.2,-0.43699183221906424,,
20000.0,9944064,-162.31459632000002,7,139,2459,8e-05,0.0034267306327819824,-0.0013756006580175988,0.031468709309895836,0.0022894018,93.69687981406848,804,16.77850914001465,0.2,-0.4190840966378649,,
20000.0,9993216,-162.31459632000002,8,172,2273,8e-05,0.025384485721588135,-0.0001265545664258146,0.00103759765625,0.0019082376,18.547448615233105,808,9.099337577819824,0.2,-0.41475693446894485,22.4,7407.01171875
20000.0,10042368,-162.31459632000002,9,208,2117,8e-05,0.022952735424041748,-8.11782301752828e-05,0.0013478597005208333,0.0015694319,19.199646870295208,812,8.88571834564209,0.2,-0.4117831888919075,,
20000.0,10091520,-157.32827067,10,242,2029,8e-05,0.007949352264404297,-0.00016786368602576354,0.0009562174479166666,0.001719919,17.830277492602665,816,9.419601440429688,0.2,-0.41015074805667,67.9,7607.4453125
