time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_loss,train/value_loss,train/explained_variance,resources/cpu_percent,resources/memory_mb
32768,3305,9,1,,,,,,,,
65536,3096,21,2,1,-1.0985996723175049,5e-05,-77.81625366210938,169998.78125,4.0531158447265625e-06,,
98304,2910,33,3,2,-1.0985075235366821,5e-05,-8.41732406616211,8641.875,-0.0001239776611328125,4.2,11865.296875
131072,2728,48,4,3,-1.0984832048416138,5e-05,-1.9404295682907104,1257.1612548828125,-0.00028634071350097656,,
163840,2534,64,5,4,-1.098177433013916,5e-05,-0.4713822901248932,202.8616943359375,-0.0007665157318115234,0.0,11895.8828125
196608,2312,85,6,5,-1.0982797145843506,5e-05,0.17461484670639038,0.32926249504089355,-18.780513763427734,,
229376,2095,109,7,6,-1.0981969833374023,5e-05,0.10772162675857544,0.29506751894950867,-12.975136756896973,,
262144,1899,138,8,7,-1.0980743169784546,5e-05,0.076015904545784,0.28313323855400085,-10.517045021057129,18.8,12291.25
