time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/value_loss,train/entropy_loss,train/policy_loss,train/learning_rate,train/explained_variance,train/n_updates,resources/cpu_percent,resources/memory_mb
3,585,2048,1,,,,,,,,
4,840,4096,2,42.98407745361328,-1.0986039638519287,-1.484273910522461,0.0002,0.0028133392333984375,1,,
5,1090,6144,3,0.5155072808265686,-1.0984302759170532,-0.3266780376434326,0.0002,-0.7537562847137451,2,,
6,1175,8192,4,64.80032348632812,-1.0983591079711914,-1.7636178731918335,0.0002,0.02398502826690674,3,,
7,1311,10240,5,30.289152145385742,-1.0963282585144043,-0.848682165145874,0.0002,-0.03934144973754883,4,,
8,1437,12288,6,0.6041287183761597,-1.0945706367492676,0.01627369225025177,0.0002,-0.28004348278045654,5,,
9,1549,14336,7,51.18806457519531,-1.0941940546035767,-1.5664032697677612,0.0002,-0.006802558898925781,6,,
9,1645,16384,8,0.6034969091415405,-1.0916557312011719,0.037812888622283936,0.0002,-0.022045373916625977,7,,
10,1730,18432,9,26.67760467529297,-1.0902315378189087,-0.8470757007598877,0.0002,0.03574091196060181,8,,
11,1803,20480,10,19.11121368408203,-1.0887539386749268,-0.7325546741485596,0.0002,0.0016130805015563965,9,,
12,1867,22528,11,0.6109960675239563,-1.085081696510315,-0.0052401358261704445,0.0002,0.19557279348373413,10,,
12,1916,24576,12,7.070619583129883,-1.087893009185791,-0.2785698175430298,0.0002,0.010604441165924072,11,,
13,1957,26624,13,16.070659637451172,-1.0834097862243652,-0.6549686193466187,0.0002,0.05568540096282959,12,,
14,1985,28672,14,0.7597182989120483,-1.0844383239746094,-0.14468103647232056,0.0002,-0.05498957633972168,13,,
15,2012,30720,15,0.46379554271698,-1.0837503671646118,-0.11551322042942047,0.0002,0.11300772428512573,14,,
16,2034,32768,16,0.5202713012695312,-1.076141119003296,-0.11170025914907455,0.0002,0.21580713987350464,15,,
16,2056,34816,17,0.4507526755332947,-1.0734288692474365,-0.038635000586509705,0.0002,0.2366783618927002,16,,
17,2077,36864,18,0.3428543210029602,-1.074328899383545,-0.09655338525772095,0.0002,0.3446200489997864,17,,
18,2094,38912,19,11.228938102722168,-1.0708346366882324,-0.5016528367996216,0.0002,-0.08681058883666992,18,,
19,2118,40960,20,9.588655471801758,-1.0704989433288574,-0.5119277238845825,0.0002,0.010996818542480469,19,,
20,2142,43008,21,0.4054489731788635,-1.0707998275756836,-0.07407758384943008,0.0002,0.2543598413467407,20,,
20,2162,45056,22,0.3602672815322876,-1.0751757621765137,-0.05145049840211868,0.0002,-0.005544900894165039,21,,
21,2181,47104,23,0.3947495222091675,-1.0763601064682007,-0.04647155851125717,0.0002,-0.49422311782836914,22,,
22,2198,49152,24,0.34785792231559753,-1.0810751914978027,-0.10369320213794708,0.0002,-0.0023654699325561523,23,,
23,2208,51200,25,7.315190315246582,-1.0796667337417603,-0.47601181268692017,0.0002,0.04754912853240967,24,,
24,2217,53248,26,0.41306793689727783,-1.0798170566558838,-0.0984441339969635,0.0002,-0.0006513595581054688,25,,
24,2221,55296,27,0.3791344463825226,-1.075823426246643,-0.031961169093847275,0.0002,0.3063395023345947,26,,
25,2217,57344,28,0.31972062587738037,-1.0775065422058105,-0.0889478474855423,0.0002,-0.3371502161026001,27,,
26,2214,59392,29,4.335158348083496,-1.077059030532837,-0.3032275438308716,0.0002,0.008642435073852539,28,,
27,2212,61440,30,0.47889232635498047,-1.0793416500091553,-0.09494763612747192,0.0002,0.09425759315490723,29,,
28,2217,63488,31,10.113486289978027,-1.0759589672088623,-0.6901341676712036,0.0002,-0.10756886005401611,30,,
29,2212,65536,32,0.34671056270599365,-1.0770964622497559,-0.023630840703845024,0.0002,-0.3994905948638916,31,,
30,2208,67584,33,0.3505566120147705,-1.079365849494934,-0.10109695792198181,0.0002,-0.30136048793792725,32,,
31,2199,69632,34,0.31913596391677856,-1.0814152956008911,-0.05633910000324249,0.0002,0.12220442295074463,33,,
32,2198,71680,35,0.2499145269393921,-1.0837925672531128,-0.031042462214827538,0.0002,-1.5133490562438965,34,,
