time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_loss,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/entropy_loss,resources/memory_mb,resources/cpu_percent
1846,67,74,137216,-0.1031295508146286,66,0.1604563295841217,0.0002,-5.1287078857421875,-1.0749404430389404,,
1841,68,75,139264,-0.03482653945684433,67,0.11389166116714478,0.0002,-3.8652772903442383,-1.0736758708953857,,
1837,69,76,141312,-0.005506404675543308,68,0.12171178311109543,0.0002,-5.3710126876831055,-1.076473355293274,,
1829,70,78,143360,-0.06433974206447601,69,0.10092055797576904,0.0002,-8.72316837310791,-1.0783618688583374,,
1820,71,79,145408,0.0035808717366307974,70,0.061984315514564514,0.0002,-3.636686325073242,-1.0788801908493042,,
1812,72,81,147456,-0.041171714663505554,71,0.05007624626159668,0.0002,-5.242520332336426,-1.0805039405822754,,
1806,73,82,149504,-0.02019733563065529,72,0.12422904372215271,0.0002,-4.5954461097717285,-1.080762267112732,,
1800,74,84,151552,-0.004649221897125244,73,0.12127883732318878,0.0002,0.4665054678916931,-1.081922173500061,,
1793,75,85,153600,-0.042034320533275604,74,0.08365492522716522,0.0002,-18.966646194458008,-1.0830315351486206,,
1788,76,87,155648,-0.0007181316614151001,75,0.07537447661161423,0.0002,-6.223839282989502,-1.0823338031768799,,
1780,77,88,157696,-0.05146138370037079,76,0.06590946018695831,0.0002,-6.076297760009766,-1.0832775831222534,,
1773,78,90,159744,-0.0005456185899674892,77,0.29753246903419495,0.0002,-1.1879587173461914,-1.083308219909668,,
1764,79,91,161792,-0.06084936484694481,78,0.14675036072731018,0.0002,-2.3132853507995605,-1.0837857723236084,8121.00390625,31.6
1757,80,93,163840,-0.01906103640794754,79,0.1829642355442047,0.0002,-3.7173409461975098,-1.0832767486572266,,
1750,81,94,165888,-0.03802257031202316,80,0.03406237065792084,0.0002,-9.212240219116211,-1.0831999778747559,,
1738,82,96,167936,0.006847960874438286,81,0.038725003600120544,0.0002,-7.381242752075195,-1.084752082824707,,
1730,83,98,169984,-0.03761594742536545,82,0.05222296714782715,0.0002,-9.110034942626953,-1.08356773853302,,
1724,84,99,172032,0.016123784705996513,83,0.03282707929611206,0.0002,-10.400444984436035,-1.0834214687347412,,
1717,85,101,174080,-0.03466662019491196,84,0.06758248805999756,0.0002,-4.5477294921875,-1.0847382545471191,,
1711,86,102,176128,0.0021187877282500267,85,0.06331437826156616,0.0002,-5.1491289138793945,-1.08475661277771,,
1705,87,104,178176,-0.031471118330955505,86,0.03670480102300644,0.0002,-15.834745407104492,-1.0858608484268188,,
1700,88,106,180224,0.010976157151162624,87,0.05671649053692818,0.0002,-5.341189384460449,-1.0858243703842163,,
1694,89,107,182272,-0.04238739609718323,88,0.04191391542553902,0.0002,-10.902833938598633,-1.0863592624664307,,
1690,90,109,184320,0.011040478944778442,89,0.044668205082416534,0.0002,-12.756641387939453,-1.0860460996627808,,
1684,91,110,186368,-0.016550710424780846,90,0.05898398533463478,0.0002,-1.2566750049591064,-1.0869996547698975,,
1678,92,112,188416,-0.015400974079966545,91,0.09599196910858154,0.0002,-9.896228790283203,-1.0882396697998047,,
1672,93,113,190464,-0.014899803325533867,92,0.02427525445818901,0.0002,-12.374898910522461,-1.0881226062774658,,
1665,94,115,192512,0.013217481784522533,93,0.051143988966941833,0.0002,-8.651853561401367,-1.0885937213897705,,
1660,95,117,194560,-0.03882473334670067,94,0.02305278740823269,0.0002,-7.050365447998047,-1.0885441303253174,,
1654,96,118,196608,0.007155277766287327,95,0.0858428031206131,0.0002,-4.221861839294434,-1.0893194675445557,,
1648,97,120,198656,-0.021500136703252792,96,0.06340891867876053,0.0002,-2.5523273944854736,-1.0896966457366943,,
1641,98,122,200704,-0.0005513000069186091,97,0.044951990246772766,0.0002,-4.17262077331543,-1.089780330657959,,
1635,99,123,202752,-0.01916959136724472,98,0.06305903196334839,0.0002,-16.94419288635254,-1.0906450748443604,,
1628,100,125,204800,-0.0038093000184744596,99,0.038957349956035614,0.0002,-17.595788955688477,-1.0909470319747925,,
1622,101,127,206848,-0.011370842345058918,100,0.08378613740205765,0.0002,-4.81031608581543,-1.0914316177368164,,
1615,102,129,208896,-0.018956642597913742,101,0.04858037456870079,0.0002,-7.5200300216674805,-1.0917168855667114,,
1609,103,131,210944,-0.006669320166110992,102,0.07957953214645386,0.0002,-5.665256500244141,-1.0920872688293457,,
1602,104,132,212992,-0.004755143076181412,103,0.01910494640469551,0.0002,-5.964768409729004,-1.092078447341919,,
1595,105,134,215040,-0.022316398099064827,104,0.1655724048614502,0.0002,-2.480351448059082,-1.0927298069000244,,
1589,106,136,217088,-0.037230391055345535,105,0.04293670505285263,0.0002,-11.702803611755371,-1.0926513671875,,
1582,107,138,219136,0.008229810744524002,106,0.09559954702854156,0.0002,-3.0761947631835938,-1.0927296876907349,,
1575,108,140,221184,-0.03702273592352867,107,0.0695260539650917,0.0002,-9.485966682434082,-1.092992901802063,,
1568,109,142,223232,0.0051070270128548145,108,0.03951083868741989,0.0002,-4.695089340209961,-1.0923709869384766,,
1562,110,144,225280,-0.015736501663923264,109,0.07164900004863739,0.0002,-8.054109573364258,-1.09324312210083,,
1555,111,146,227328,-0.005768493749201298,110,0.027768904343247414,0.0002,-4.789559364318848,-1.0936460494995117,,
1549,112,148,229376,-0.0071578132919967175,111,0.05227154120802879,0.0002,-13.353074073791504,-1.093375325202942,,
1540,113,150,231424,-0.016390956938266754,112,0.020814459770917892,0.0002,-11.362927436828613,-1.0934019088745117,,
1533,114,152,233472,0.026259716600179672,113,0.02878807857632637,0.0002,-12.69857406616211,-1.0935534238815308,,
1527,115,154,235520,-0.02883552573621273,114,0.02149340882897377,0.0002,-16.896568298339844,-1.0938754081726074,,
1521,116,156,237568,0.022296719253063202,115,0.028728116303682327,0.0002,-15.515901565551758,-1.0938916206359863,,
1515,117,158,239616,-0.025327082723379135,116,0.030145157128572464,0.0002,-19.345449447631836,-1.0941205024719238,,
1507,118,160,241664,0.02739972248673439,117,0.04965859651565552,0.0002,-6.8473100662231445,-1.0944344997406006,8628.69921875,20.4
1502,119,162,243712,-0.016882069408893585,118,0.05327439680695534,0.0002,-3.856311321258545,-1.0945463180541992,,
1496,120,164,245760,-0.003702370449900627,119,0.041496045887470245,0.0002,-7.606728553771973,-1.0947511196136475,,
1490,121,166,247808,-0.017052030190825462,120,0.020881809294223785,0.0002,-12.167021751403809,-1.0947763919830322,,
1484,122,168,249856,0.030152468010783195,121,0.05092697590589523,0.0002,-5.460475444793701,-1.0949909687042236,,
1479,123,170,251904,-0.03315794840455055,122,0.017809879034757614,0.0002,-13.1588134765625,-1.0948963165283203,,
