time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/learning_rate,train/policy_loss,train/n_updates,train/value_loss,train/entropy_loss,resources/cpu_percent,resources/memory_mb,rollout/ep_rew_mean,rollout/ep_len_mean
2788,19,38912,13,0.026808083057403564,0.0002,0.02244376577436924,18,0.2219335436820984,-0.8150675296783447,,,,
2791,20,40960,14,0.013594269752502441,0.0002,-0.05394157022237778,19,0.17076143622398376,-0.8238116502761841,,,,
2792,21,43008,15,0.009874463081359863,0.0002,0.047884728759527206,20,0.1684323102235794,-0.8214309215545654,,,,
2794,22,45056,16,0.037706196308135986,0.0002,-0.05003161355853081,21,0.1508687436580658,-0.8221702575683594,,,,
2794,23,47104,16,0.039132773876190186,0.0002,-0.016209177672863007,22,0.14720654487609863,-0.8155771493911743,,,,
2793,24,49152,17,-0.00072479248046875,0.0002,-0.5318999290466309,23,17.283540725708008,-0.8001983165740967,,,,
2791,25,51200,18,0.07145828008651733,0.0002,0.07657662034034729,24,0.19738857448101044,-0.7942172288894653,,,,
2779,26,53248,19,0.09277486801147461,0.0002,0.006329583935439587,25,0.18648649752140045,-0.7969249486923218,,,,
2777,27,55296,19,-0.06188380718231201,0.0002,-0.02996864542365074,26,0.2292184829711914,-0.7871493101119995,,,,
2775,28,57344,20,0.015115976333618164,0.0002,0.017508970573544502,27,0.1838790625333786,-0.7675220966339111,,,,
2772,29,59392,21,0.012202918529510498,0.0002,-0.05054355412721634,28,0.17201386392116547,-0.7393411993980408,,,,
2768,30,61440,22,0.007088661193847656,0.0002,0.0019194139167666435,29,0.16857218742370605,-0.7473039627075195,,,,
2767,31,63488,22,-0.06432783603668213,0.0002,-0.006164361257106066,30,0.1734931319952011,-0.7850772142410278,,,,
2764,32,65536,23,0.039856672286987305,0.0002,-0.0290755033493042,31,0.1677708774805069,-0.7669618725776672,,,,
2760,33,67584,24,0.010870099067687988,0.0002,0.027506336569786072,32,0.1809784322977066,-0.7642449140548706,,,,
2757,34,69632,25,-0.01726078987121582,0.0002,-0.03338306397199631,33,0.18132495880126953,-0.7644814252853394,,,,
2753,35,71680,26,-0.01563727855682373,0.0002,-0.001540828263387084,34,0.16740325093269348,-0.7649348974227905,,,,
