time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_loss,train/learning_rate,train/n_updates,resources/memory_mb,resources/cpu_percent
844,1,1,1024,,,,,,,,
963,2,2,2048,-0.49842607975006104,-1.0986077785491943,0.3932270109653473,-0.3426475524902344,0.0002,1,,
1122,2,3,3072,-0.014323592185974121,-1.097614049911499,81.82161712646484,-1.8078700304031372,0.0002,2,,
1209,3,4,4096,-0.5496872663497925,-1.0973193645477295,0.7922717928886414,0.14164981245994568,0.0002,3,,
1272,4,5,5120,-1.1514317989349365,-1.0961275100708008,0.48263537883758545,-0.02849329262971878,0.0002,4,,
1309,4,6,6144,-0.42723512649536133,-1.088613748550415,0.34070059657096863,-0.24791917204856873,0.0002,5,,
1330,5,7,7168,-0.4713093042373657,-1.0889309644699097,0.47164249420166016,-0.035552285611629486,0.0002,6,,
1354,6,8,8192,0.011614561080932617,-1.0635998249053955,56.97212600708008,-1.5826129913330078,0.0002,7,,
1379,6,9,9216,0.08004635572433472,-1.064857006072998,0.49763405323028564,0.08166565001010895,0.0002,8,,
1400,7,10,10240,0.14505690336227417,-1.0555416345596313,0.36842048168182373,-0.14932812750339508,0.0002,9,,
1416,7,11,11264,-0.28856563568115234,-1.0537440776824951,0.4071411192417145,-0.052544306963682175,0.0002,10,,
1434,8,12,12288,-0.22861790657043457,-1.0562204122543335,0.37413090467453003,-0.03361368179321289,0.0002,11,,
1442,9,13,13312,-0.008964896202087402,-1.0436971187591553,37.68183898925781,-1.2942869663238525,0.0002,12,,
1454,9,14,14336,-0.0022962093353271484,-1.05118727684021,36.56203842163086,-1.3680583238601685,0.0002,13,,
1461,10,15,15360,-0.5391701459884644,-1.0468589067459106,0.4593110680580139,-0.1283423900604248,0.0002,14,,
1469,11,16,16384,-0.2539869546890259,-1.0466803312301636,0.5230045318603516,-0.0082489512860775,0.0002,15,,
1472,11,17,17408,-0.03294968605041504,-1.0491745471954346,24.9775390625,-0.9254570603370667,0.0002,16,,
1478,12,18,18432,-1.2309038639068604,-1.0490800142288208,0.5207324028015137,-0.19939623773097992,0.0002,17,,
1484,13,19,19456,-1.2905967235565186,-1.035954236984253,0.5329171419143677,-0.08270639181137085,0.0002,18,,
1486,13,20,20480,-0.9017046689987183,-1.0302531719207764,0.4752919673919678,-0.11004798859357834,0.0002,19,,
1488,14,21,21504,-1.6273431777954102,-1.0347261428833008,0.5628970861434937,-0.13552814722061157,0.0002,20,,
1490,15,22,22528,-0.5475523471832275,-1.0022207498550415,0.41813063621520996,-0.08146361261606216,0.0002,21,,
1494,15,23,23552,-0.6349097490310669,-1.0047508478164673,0.5153220891952515,-0.06246831268072128,0.0002,22,,
1494,16,24,24576,0.005234360694885254,-1.0244622230529785,0.36016303300857544,-0.06526783108711243,0.0002,23,,
1496,17,25,25600,-1.4090502262115479,-0.9851456880569458,0.412338525056839,-0.11507819592952728,0.0002,24,,
1496,17,26,26624,-1.4723191261291504,-0.9635042548179626,0.38715094327926636,-0.11367888748645782,0.0002,25,,
1496,18,27,27648,-1.817626953125,-0.9257015585899353,0.3783453702926636,-0.0687289759516716,0.0002,26,,
1495,19,28,28672,-1.733520269393921,-0.955876350402832,0.2898240089416504,-0.13840527832508087,0.0002,27,,
1493,19,29,29696,-0.013689994812011719,-0.962917149066925,16.3662052154541,-0.5461305975914001,0.0002,28,,
1493,20,30,30720,-1.2124359607696533,-0.9694225192070007,0.33656758069992065,-0.06753071397542953,0.0002,29,,
1490,21,31,31744,-0.7396725416183472,-0.9246420860290527,0.3020687401294708,-0.03577575832605362,0.0002,30,,
1489,21,32,32768,-0.7739822864532471,-0.9462952613830566,0.2636309266090393,-0.14299963414669037,0.0002,31,,
1488,22,33,33792,-1.4856417179107666,-0.9415144324302673,0.20096814632415771,-0.04407964646816254,0.0002,32,,
1488,23,34,34816,-0.563051700592041,-0.9644219875335693,0.18073558807373047,-0.03844070807099342,0.0002,33,,
1487,24,35,35840,-0.8016098737716675,-0.9902856349945068,0.18127620220184326,-0.039228446781635284,0.0002,34,,
1483,24,36,36864,0.13676393032073975,-0.9891042709350586,0.19351482391357422,-0.0785548985004425,0.0002,35,,
1481,25,37,37888,0.009540379047393799,-0.9987258911132812,0.28156840801239014,-0.04640090465545654,0.0002,36,,
1479,26,38,38912,-0.2939748764038086,-0.9783129096031189,0.11245325207710266,-0.07851717621088028,0.0002,37,,
1476,27,39,39936,0.04508984088897705,-0.9642954468727112,0.12067566812038422,-0.014492801390588284,0.0002,38,,
