time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/explained_variance,train/value_loss,train/policy_loss,train/learning_rate,train/n_updates,train/entropy_loss,resources/cpu_percent,resources/memory_mb
110592,1067,54,103,-3.419631004333496,0.677436113357544,-0.14104624092578888,0.0001,53,-1.0976430177688599,2.1,11715.9453125
112640,1106,55,101,-2.1727020740509033,0.6087919473648071,-0.12498712539672852,0.0001,54,-1.0974302291870117,,
114688,1146,56,100,-4.741781711578369,0.5086382627487183,-0.06892324984073639,0.0001,55,-1.0973448753356934,,
116736,1187,57,98,-3.273998260498047,0.49995529651641846,-0.09264403581619263,0.0001,56,-1.0974290370941162,16.3,11653.67578125
118784,1228,58,96,-2.141536235809326,0.638407826423645,-0.1098068356513977,0.0001,57,-1.097588062286377,,
120832,1270,59,95,-2.8067450523376465,0.6984500288963318,-0.1460641622543335,0.0001,58,-1.0976077318191528,5.4,11691.6875
122880,1313,60,93,-3.3251953125,0.5289353132247925,-0.10242333263158798,0.0001,59,-1.0975313186645508,,
124928,1357,61,92,-5.613298416137695,0.4158860445022583,-0.08597564697265625,0.0001,60,-1.0975990295410156,,
126976,1402,62,90,-3.6561717987060547,0.5060742497444153,-0.091289222240448,0.0001,61,-1.097627878189087,6.1,11654.59375
129024,1447,63,89,-1.532893180847168,0.6915385723114014,-0.12650904059410095,0.0001,62,-1.0975714921951294,,
131072,1494,64,87,-2.465524435043335,0.6168311834335327,-0.1218208521604538,0.0001,63,-1.097575306892395,8.3,11608.37109375
133120,1542,65,86,-6.362771034240723,0.3272504210472107,-0.08091451227664948,0.0001,64,-1.0974026918411255,,
135168,1594,66,84,-1.844660758972168,0.4254724085330963,-0.06273066997528076,0.0001,65,-1.0973663330078125,1.8,11597.234375
137216,1647,67,83,-5.354322910308838,0.3709288537502289,-0.09222269058227539,0.0001,66,-1.097405195236206,,
139264,1699,68,81,-2.6203505992889404,0.4842205345630646,-0.09472376108169556,0.0001,67,-1.0975666046142578,,
141312,1751,69,80,-5.560975551605225,0.3811704218387604,-0.09975841641426086,0.0001,68,-1.0975919961929321,0.0,11753.24609375
143360,1806,70,79,-2.614924907684326,0.2758132815361023,-0.05326838046312332,0.0001,69,-1.097534418106079,,
145408,1863,71,78,-4.929957866668701,0.30375605821609497,-0.07537715137004852,0.0001,70,-1.0975427627563477,7.5,11790.21484375
147456,1917,72,76,-4.12904167175293,0.3329862952232361,-0.06549187004566193,0.0001,71,-1.097580909729004,,
149504,1972,73,75,-3.3416266441345215,0.4269208312034607,-0.09737372398376465,0.0001,72,-1.0977416038513184,,
151552,2028,74,74,-2.466918706893921,0.32965806126594543,-0.05548004060983658,0.0001,73,-1.0975501537322998,22.8,11905.7109375
153600,2084,75,73,-3.3810739517211914,0.35506293177604675,-0.07615900039672852,0.0001,74,-1.0976107120513916,,
155648,2141,76,72,-2.7395732402801514,0.4524003863334656,-0.10374376177787781,0.0001,75,-1.0976779460906982,0.0,11681.1328125
157696,2203,77,71,-2.081521987915039,0.39016440510749817,-0.08401559293270111,0.0001,76,-1.0975885391235352,,
