time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_loss,train/learning_rate,resources/memory_mb,resources/cpu_percent
487,75776,155,37,36,0.5240405201911926,-0.9601237773895264,-1.0979180335998535,-0.4004353880882263,0.0001,11207.69921875,5.4
512,77824,151,38,37,0.7469386458396912,-1.1314637660980225,-1.097764492034912,-0.45178520679473877,0.0001,,
538,79872,148,39,38,0.6152398586273193,-0.656216025352478,-1.097717046737671,-0.420693963766098,0.0001,,
565,81920,144,40,39,0.4319925010204315,-1.9397847652435303,-1.097615361213684,-0.34596627950668335,0.0001,11047.546875,0.0
593,83968,141,41,40,0.5463200807571411,-0.7489286661148071,-1.097518801689148,-0.3713843822479248,0.0001,,
621,86016,138,42,41,0.6423392295837402,-1.0104827880859375,-1.0974680185317993,-0.42181915044784546,0.0001,11033.5703125,2.1
651,88064,135,43,42,0.44899943470954895,-1.1253690719604492,-1.0971176624298096,-0.30511748790740967,0.0001,,
681,90112,132,44,43,0.49627602100372314,-0.24591827392578125,-1.0974714756011963,-0.33261507749557495,0.0001,10988.44921875,1.8
711,92160,129,45,44,0.6275972127914429,-0.407692551612854,-1.0973386764526367,-0.31204578280448914,0.0001,,
745,94208,126,46,45,0.6011207103729248,-1.1344690322875977,-1.097178339958191,-0.2872661352157593,0.0001,,
778,96256,123,47,46,0.4724045991897583,-1.3916740417480469,-1.0972405672073364,-0.29027438163757324,0.0001,11034.7578125,2.1
810,98304,121,48,47,0.3603838086128235,-1.5032482147216797,-1.0972005128860474,-0.23018887639045715,0.0001,,
844,100352,118,49,48,0.408227801322937,-1.0673916339874268,-1.097625970840454,-0.229040265083313,0.0001,11264.37109375,0.0
878,102400,116,50,49,0.4666239321231842,-0.27866411209106445,-1.0975496768951416,-0.21629400551319122,0.0001,,
913,104448,114,51,50,0.34477028250694275,-0.7422946691513062,-1.097662091255188,-0.19962717592716217,0.0001,,
949,106496,112,52,51,0.39560598134994507,-0.8986245393753052,-1.0979878902435303,-0.19813551008701324,0.0001,11265.7578125,0.0
986,108544,109,53,52,0.3832870125770569,-0.22147953510284424,-1.098200798034668,-0.1862843632698059,0.0001,,
