rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/value_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_loss,train/explained_variance,resources/memory_mb,resources/cpu_percent
-202.27474041000002,2759,11,32768,1,27.44,,,,,,,,
-1.7141652299999999,2753,23,65536,2,1.0,261257.859375,1,2e-05,-1.0985963344573975,-88.4253158569336,-5.0067901611328125e-06,,
-99.90670233,2684,36,98304,3,43.21,15547.509765625,2,2e-05,-1.098543643951416,-12.584233283996582,1.1861324310302734e-05,12105.75390625,2.0
-99.90670233,2511,52,131072,4,43.21,21638.58984375,3,2e-05,-1.0985052585601807,-18.988727569580078,6.443262100219727e-05,,
-2.76769418,2378,68,163840,5,1.0,55989.1171875,4,2e-05,-1.0984764099121094,-14.810110092163086,-1.2874603271484375e-05,8115.0859375,20.7
-4.02616378,2266,86,196608,6,1.0,58.71976852416992,5,2e-05,-1.0983636379241943,-0.8534952998161316,-0.006941556930541992,,
-173.78900274,2171,105,229376,7,180.62,39524.71875,6,2e-05,-1.0983576774597168,-13.776493072509766,3.17692756652832e-05,,
-473.3319338200001,2114,123,262144,8,515.17,41931.0859375,7,2e-05,-1.0983474254608154,-15.013359069824219,-4.6253204345703125e-05,8425.1328125,5.4
-211.38197272000002,2015,146,294912,9,103.0,40313.828125,8,2e-05,-1.098353624343872,-18.427335739135742,-3.4689903259277344e-05,,
