time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/entropy_loss,train/value_loss,train/n_updates,train/policy_loss,train/explained_variance,resources/cpu_percent,resources/memory_mb
75,1907,80,153600,0.0002,-1.0968546867370605,0.01981385424733162,74,0.0034365542232990265,-1.9643011093139648,,
76,1903,81,155648,0.0002,-1.096797227859497,0.04136919975280762,75,0.001650855876505375,-1.7604138851165771,,
77,1897,83,157696,0.0002,-1.096900224685669,0.026745587587356567,76,-0.025491422042250633,-10.462442398071289,,
78,1891,84,159744,0.0002,-1.0968647003173828,0.03346601128578186,77,0.02872539684176445,-0.6573920249938965,,
79,1881,85,161792,0.0002,-1.0968623161315918,0.04611572250723839,78,-0.03616403043270111,-4.342757701873779,46.0,11132.01171875
80,1876,87,163840,0.0002,-1.0966562032699585,0.021117467433214188,79,0.002379379700869322,-15.363546371459961,,
81,1869,88,165888,0.0002,-1.0965160131454468,0.016092024743556976,80,-0.005665750242769718,-11.940093040466309,,
82,1858,90,167936,0.0002,-1.0967615842819214,0.10210171341896057,81,0.03915644437074661,-0.15617549419403076,,
83,1847,91,169984,0.0002,-1.0966542959213257,0.12737905979156494,82,-9.916815906763077e-05,-0.4712942838668823,,
84,1836,93,172032,0.0002,-1.0965795516967773,0.028819706290960312,83,-0.04423196613788605,-11.569244384765625,,
85,1825,95,174080,0.0002,-1.0966428518295288,0.030111581087112427,84,-0.002805442316457629,-1.746807336807251,,
86,1817,96,176128,0.0002,-1.0967390537261963,0.07235342264175415,85,-0.015866396948695183,-3.8218908309936523,,
87,1808,98,178176,0.0002,-1.096708059310913,0.029859617352485657,86,-0.020437419414520264,-4.241444110870361,,
88,1802,100,180224,0.0002,-1.0965816974639893,0.052338313311338425,87,0.006660798564553261,-3.1926403045654297,,
