time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/policy_loss,resources/cpu_percent,resources/memory_mb
20,36864,1780,36,-1.417039155960083,-0.8946503400802612,0.0002,35,0.2275501787662506,-0.06433922052383423,,
21,37888,1780,37,-0.7561622858047485,-0.8684781789779663,0.0002,36,0.19700253009796143,-0.08377717435359955,,
21,38912,1779,38,-4.33753776550293,-0.8677499890327454,0.0002,37,0.14101523160934448,-0.004923687316477299,,
22,39936,1779,39,-4.195915699005127,-0.902094304561615,0.0002,38,0.12869088351726532,-0.09042500704526901,,
23,40960,1769,40,-2.8054981231689453,-0.8962939381599426,0.0002,39,0.1938284933567047,-0.046651680022478104,2.1,10210.6171875
23,41984,1767,41,-1.003833293914795,-0.9083558320999146,0.0002,40,0.1575375497341156,-0.040168654173612595,,
24,43008,1766,42,-3.614515781402588,-0.9324336051940918,0.0002,41,0.18465909361839294,-0.059901610016822815,,
24,44032,1765,43,-2.2777693271636963,-0.9306982755661011,0.0002,42,0.13120126724243164,-0.033156316727399826,,
25,45056,1763,44,-4.015092849731445,-0.9569845199584961,0.0002,43,0.12661555409431458,-0.038946330547332764,,
26,46080,1761,45,-1.3512351512908936,-0.9778391718864441,0.0002,44,0.21731966733932495,-0.0009744926355779171,,
26,47104,1758,46,-0.8403165340423584,-0.9728356599807739,0.0002,45,0.17834638059139252,-0.10939721763134003,,
27,48128,1755,47,-8.676285743713379,-0.9571869373321533,0.0002,46,0.09603311121463776,-0.07040227949619293,,
28,49152,1753,48,-1.045764446258545,-0.9836208820343018,0.0002,47,0.1979980766773224,0.000206681783311069,,
28,50176,1751,49,-5.964968681335449,-0.9674513936042786,0.0002,48,0.07261495292186737,-0.057067543268203735,,
29,51200,1749,50,-1.4663338661193848,-0.9726747870445251,0.0002,49,0.11797255277633667,-0.001865799305960536,,
29,52224,1746,51,-10.687954902648926,-0.9894561171531677,0.0002,50,0.0547303706407547,-0.053108226507902145,,
30,53248,1744,52,-0.6526281833648682,-0.9866915941238403,0.0002,51,0.10786034166812897,0.00857481174170971,,
31,54272,1741,53,-3.1312108039855957,-0.9962203502655029,0.0002,52,0.07765951752662659,-0.0799100250005722,,
31,55296,1738,54,-3.2603068351745605,-0.9790471792221069,0.0002,53,0.04219280928373337,0.011575237847864628,,
32,56320,1736,55,-3.5409789085388184,-0.9759745001792908,0.0002,54,0.06251519918441772,-0.04252863675355911,,
33,57344,1733,56,-3.7337217330932617,-0.9925200939178467,0.0002,55,0.06804981827735901,-0.012907461263239384,,
33,58368,1730,57,-0.42693591117858887,-0.9921545386314392,0.0002,56,0.0638732761144638,0.005211275070905685,,
34,59392,1727,58,-6.819559574127197,-1.013364315032959,0.0002,57,0.13047872483730316,-0.07067109644412994,,
35,60416,1724,59,-11.183767318725586,-0.9916932582855225,0.0002,58,0.06690908968448639,0.00393596151843667,,
35,61440,1721,60,-10.351116180419922,-0.9870131015777588,0.0002,59,0.03777485340833664,-0.048668667674064636,,
36,62464,1716,61,-4.091434001922607,-0.9801580309867859,0.0002,60,0.04141201823949814,0.007953310385346413,,
37,63488,1712,62,-3.951192855834961,-1.0175104141235352,0.0002,61,0.11587401479482651,-0.04280189052224159,,
37,64512,1709,63,-2.6059377193450928,-1.0063655376434326,0.0002,62,0.07422876358032227,-0.014217416755855083,,
38,65536,1706,64,-13.53995418548584,-1.0017592906951904,0.0002,63,0.03880464285612106,-0.03057919628918171,,
39,66560,1703,65,-4.731978416442871,-1.01731538772583,0.0002,64,0.06157775968313217,0.035713400691747665,,
39,67584,1699,66,-3.2697062492370605,-1.0200985670089722,0.0002,65,0.11027142405509949,-0.07527527213096619,,
40,68608,1696,67,-8.17251205444336,-1.0314420461654663,0.0002,66,0.050890639424324036,0.011035545729100704,,
41,69632,1693,68,-10.331214904785156,-1.0230882167816162,0.0002,67,0.04501266032457352,-0.03415337949991226,,
41,70656,1689,69,-2.9049086570739746,-1.0416758060455322,0.0002,68,0.07042059302330017,0.031180253252387047,,
42,71680,1686,70,-1.661182165145874,-1.0442290306091309,0.0002,69,0.049868643283843994,-0.046368639916181564,,
43,72704,1682,71,-1.1702508926391602,-1.0466933250427246,0.0002,70,0.12818747758865356,-0.003824442159384489,,
43,73728,1679,72,-5.864693641662598,-1.0463848114013672,0.0002,71,0.03493143990635872,-0.044115547090768814,,
44,74752,1675,73,-10.797239303588867,-1.0507609844207764,0.0002,72,0.05099228024482727,0.029810063540935516,,
45,75776,1670,74,-10.151678085327148,-1.0582139492034912,0.0002,73,0.020158613100647926,-0.037544213235378265,,
46,76800,1664,75,-15.14027214050293,-1.0553194284439087,0.0002,74,0.022540897130966187,0.031023629009723663,,
46,77824,1660,76,-10.755992889404297,-1.057915449142456,0.0002,75,0.04357669875025749,-0.03802813962101936,,
47,78848,1656,77,-8.773180961608887,-1.0587056875228882,0.0002,76,0.03621308133006096,0.020766034722328186,,
48,79872,1652,78,-6.139831066131592,-1.061301350593567,0.0002,77,0.06693360209465027,-0.05356357991695404,,
49,80896,1643,79,-1.857431411743164,-1.0599619150161743,0.0002,78,0.12505730986595154,0.02407442405819893,0.0,10161.859375
49,81920,1639,80,-6.869747638702393,-1.0635637044906616,0.0002,79,0.06369707733392715,-0.07573425024747849,,
50,82944,1636,81,-9.247108459472656,-1.0595264434814453,0.0002,80,0.024657540023326874,0.021397702395915985,,
51,83968,1632,82,-3.370760440826416,-1.0621955394744873,0.0002,81,0.04400837421417236,-0.020620614290237427,,
52,84992,1628,83,-3.293534278869629,-1.0655441284179688,0.0002,82,0.06710439920425415,-0.030449777841567993,,
52,86016,1624,84,-7.603891372680664,-1.0639269351959229,0.0002,83,0.03585445135831833,0.008501457050442696,,
53,87040,1620,85,-5.545352458953857,-1.066089153289795,0.0002,84,0.0328245647251606,-0.022535018622875214,,
54,88064,1616,86,-12.87202262878418,-1.0685806274414062,0.0002,85,0.03390483558177948,0.007463845424354076,,
55,89088,1611,87,-3.8782525062561035,-1.0696911811828613,0.0002,86,0.048723503947257996,-0.015461020171642303,,
56,90112,1607,88,-9.131009101867676,-1.067713975906372,0.0002,87,0.01593901962041855,0.005222342908382416,,
56,91136,1603,89,-7.461706161499023,-1.0696651935577393,0.0002,88,0.012265194207429886,-0.01095713023096323,,
57,92160,1599,90,-15.190086364746094,-1.0716309547424316,0.0002,89,0.01834152266383171,0.01000150479376316,,
58,93184,1594,91,-2.8276565074920654,-1.0722638368606567,0.0002,90,0.06032335013151169,-0.025937756523489952,,
59,94208,1590,92,-14.603519439697266,-1.0717277526855469,0.0002,91,0.033561885356903076,0.02035188488662243,,
60,95232,1586,93,-5.9104413986206055,-1.076211929321289,0.0002,92,0.023127833381295204,-0.03832906484603882,,
60,96256,1582,94,-8.478082656860352,-1.0787732601165771,0.0002,93,0.024890942499041557,0.027119526639580727,,
61,97280,1578,95,-6.451079368591309,-1.0786592960357666,0.0002,94,0.015784550458192825,-0.012531021609902382,,
62,98304,1574,96,-12.12515640258789,-1.081693410873413,0.0002,95,0.01728181540966034,0.0046110814437270164,,
63,99328,1570,97,-8.958887100219727,-1.0825655460357666,0.0002,96,0.030705057084560394,-0.001155579462647438,,
64,100352,1565,98,-6.4137187004089355,-1.0816738605499268,0.0002,97,0.04193957895040512,-0.013014687225222588,,
64,101376,1561,99,-5.080074310302734,-1.0805487632751465,0.0002,98,0.018951546400785446,-0.015815459191799164,,
66,102400,1550,100,-15.612930297851562,-1.0822738409042358,0.0002,99,0.025988638401031494,0.029263801872730255,,
66,103424,1543,101,-11.98381233215332,-1.082136631011963,0.0002,100,0.015460100024938583,-0.032464321702718735,,
67,104448,1539,102,-15.131580352783203,-1.0809394121170044,0.0002,101,0.01075039990246296,0.027178695425391197,,
68,105472,1535,103,-7.617857933044434,-1.0832329988479614,0.0002,102,0.010960454121232033,-0.029491469264030457,,
69,106496,1532,104,-10.128107070922852,-1.0849742889404297,0.0002,103,0.011309406720101833,0.03946134075522423,,
70,107520,1527,105,-2.788041830062866,-1.0855202674865723,0.0002,104,0.017648933455348015,-0.028226440772414207,,
71,108544,1523,106,-5.319525718688965,-1.086097240447998,0.0002,105,0.014069592580199242,0.016284296289086342,,
72,109568,1518,107,-6.12099552154541,-1.0879228115081787,0.0002,106,0.011631932109594345,-0.023738903924822807,,
73,110592,1514,108,-9.54090404510498,-1.0868011713027954,0.0002,107,0.024922030046582222,0.026915285736322403,,
73,111616,1509,109,-2.0597121715545654,-1.086466670036316,0.0002,108,0.030159544199705124,-0.025342091917991638,,
74,112640,1505,110,-11.95274543762207,-1.0878140926361084,0.0002,109,0.01534450612962246,0.0075411368161439896,,
75,113664,1501,111,-7.153996467590332,-1.086916208267212,0.0002,110,0.015186566859483719,-0.009242633357644081,,
76,114688,1497,112,-2.1412513256073,-1.0856349468231201,0.0002,111,0.048090673983097076,0.007070746272802353,,
77,115712,1493,113,-10.495283126831055,-1.0860741138458252,0.0002,112,0.0400502048432827,-0.05716121941804886,,
78,116736,1490,114,-4.572562217712402,-1.0874663591384888,0.0002,113,0.018261902034282684,0.023654568940401077,,
79,117760,1486,115,-4.255484580993652,-1.0865201950073242,0.0002,114,0.0469011515378952,-0.02654571272432804,,
80,118784,1481,116,-0.9104955196380615,-1.0868901014328003,0.0002,115,0.04623018205165863,0.0024207737296819687,,
81,119808,1477,117,-7.6064300537109375,-1.0894590616226196,0.0002,116,0.018720395863056183,-0.020758146420121193,,
82,120832,1471,118,-16.538633346557617,-1.0897397994995117,0.0002,117,0.028562452644109726,0.020201481878757477,8.3,10209.671875
83,121856,1466,119,-6.45732307434082,-1.089470624923706,0.0002,118,0.015694787725806236,-0.035469964146614075,,
84,122880,1462,120,-12.047480583190918,-1.0898656845092773,0.0002,119,0.00896843895316124,0.037035878747701645,,
84,123904,1458,121,-8.968191146850586,-1.0906692743301392,0.0002,120,0.09178423881530762,-0.03297409415245056,,
85,124928,1454,122,-6.111900329589844,-1.0914969444274902,0.0002,121,0.03178328275680542,-0.017126550897955894,,
86,125952,1450,123,-10.244964599609375,-1.0912466049194336,0.0002,122,0.010988358408212662,0.01060011051595211,,
87,126976,1446,124,-4.721177101135254,-1.0911545753479004,0.0002,123,0.007773476652801037,-0.012700129300355911,,
88,128000,1442,125,-14.904948234558105,-1.0925445556640625,0.0002,124,0.007459708489477634,0.021137550473213196,,
89,129024,1438,126,-13.716277122497559,-1.0926380157470703,0.0002,125,0.015302508138120174,-0.008055387996137142,,
90,130048,1434,127,-9.088950157165527,-1.0924147367477417,0.0002,126,0.026521110907197,0.0008102109422907233,,
