time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_loss,resources/cpu_percent,resources/memory_mb,rollout/ep_len_mean,rollout/ep_rew_mean
1808,44,90112,49,-0.060018301010131836,0.20883232355117798,43,-0.6800535321235657,0.0002,0.031968481838703156,,,,
1808,45,92160,50,-0.017763853073120117,0.2020743191242218,44,-0.6502890586853027,0.0002,-0.019346538931131363,,,,
1810,46,94208,52,-0.003295302391052246,0.20043380558490753,45,-0.698601484298706,0.0002,0.022614214569330215,,,,
1809,47,96256,53,0.014505743980407715,0.19930700957775116,46,-0.6621288657188416,0.0002,-0.03274412825703621,,,,
1804,48,98304,54,0.009864985942840576,0.19810080528259277,47,-0.7152431011199951,0.0002,0.042135510593652725,,,,
1784,49,100352,56,-0.021799921989440918,0.23238304257392883,48,-0.6974289417266846,0.0002,-0.04579760134220123,,,,
1778,50,102400,57,0.007464587688446045,0.19621963798999786,49,-0.7164671421051025,0.0002,0.029967963695526123,,,,
1774,51,104448,58,0.0252760648727417,0.1978396773338318,50,-0.6884955763816833,0.0002,-0.02761932648718357,,,,
1764,52,106496,60,-0.0072171688079833984,0.19854718446731567,51,-0.7073459029197693,0.0002,0.03294496238231659,,,,
1757,53,108544,61,-0.02171802520751953,0.2212803065776825,52,-0.6860056519508362,0.0002,-0.03547867760062218,,,,
1754,54,110592,63,0.18451142311096191,0.19656918942928314,53,-0.68175208568573,0.0002,0.018264736980199814,,,,
1754,55,112640,64,0.012264430522918701,0.2787255048751831,54,-0.6668621301651001,0.0002,-0.05521256849169731,,,,
1753,56,114688,65,0.09588927030563354,0.24849370121955872,55,-0.6708396673202515,0.0002,0.04680868983268738,,,,
1753,57,116736,66,0.1403452754020691,0.24693769216537476,56,-0.6770656108856201,0.0002,-0.03541241213679314,,,,
1751,58,118784,67,0.1478114128112793,0.1939762383699417,57,-0.6556093692779541,0.0002,0.015534559264779091,,,,
1753,59,120832,68,0.18323218822479248,0.20061707496643066,58,-0.6768949627876282,0.0002,-0.018584419041872025,,,,
1753,60,122880,70,0.24233907461166382,0.19994741678237915,59,-0.6945333480834961,0.0002,0.014673091471195221,,,,
1743,61,124928,71,0.08750021457672119,0.20770911872386932,60,-0.659875214099884,0.0002,-0.0364282988011837,,,,
1734,62,126976,73,0.056704938411712646,0.5065832734107971,61,-0.6892693042755127,0.0002,0.04439796507358551,,,,
1728,63,129024,74,0.16398507356643677,0.1949600726366043,62,-0.6591716408729553,0.0002,-0.050740793347358704,,,,
1726,64,131072,75,0.05870133638381958,0.18980476260185242,63,-0.6438164114952087,0.0002,0.025851987302303314,,,,
1725,65,133120,77,-0.006705880165100098,0.22684255242347717,64,-0.7003805637359619,0.0002,-0.0030038361437618732,,,,
1721,66,135168,78,0.02661198377609253,0.183665469288826,65,-0.7285435199737549,0.0002,0.006356085184961557,,,,
1713,67,137216,80,0.07274270057678223,0.19803299009799957,66,-0.731680691242218,0.0002,-0.017739376053214073,,,,
1707,68,139264,81,-0.22151422500610352,0.1962953805923462,67,-0.7040836215019226,0.0002,0.029150107875466347,,,,
1703,69,141312,82,-0.06034684181213379,0.1951729655265808,68,-0.7117484211921692,0.0002,-0.026836931705474854,,,,
1700,70,143360,84,0.14808672666549683,0.21230000257492065,69,-0.6821914315223694,0.0002,0.030595900490880013,,,,
1694,71,145408,85,0.18219274282455444,0.19567663967609406,70,-0.6781545281410217,0.0002,-0.037529509514570236,,,,
1688,72,147456,87,0.18173152208328247,0.19188567996025085,71,-0.6760507225990295,0.0002,0.014923524111509323,,,,
1685,73,149504,88,0.2604805827140808,0.1941511631011963,72,-0.6702741980552673,0.0002,-0.041144371032714844,,,,
1680,74,151552,90,0.19599300622940063,0.19475266337394714,73,-0.6989354491233826,0.0002,0.03092132695019245,,,,
1674,75,153600,91,0.14009958505630493,0.19546926021575928,74,-0.690082311630249,0.0002,-0.05418388545513153,,,,
1670,76,155648,93,0.14570379257202148,0.2302677184343338,75,-0.68082594871521,0.0002,0.043914321810007095,,,,
1666,77,157696,94,0.15967321395874023,0.19050194323062897,76,-0.6949372291564941,0.0002,-0.05922845005989075,,,,
1661,78,159744,96,0.040564000606536865,0.1880621761083603,77,-0.691138505935669,0.0002,0.0010000906186178327,,,,
1652,79,161792,97,0.06901168823242188,0.18867835402488708,78,-0.5599706172943115,0.0002,-0.02316773124039173,89.8,15142.046875,,
1648,80,163840,99,0.03184914588928223,0.18206307291984558,79,-0.6045619249343872,0.0002,0.0020498246885836124,,,,
1644,81,165888,100,0.17326509952545166,0.1901930570602417,80,-0.5999190211296082,0.0002,-0.03371332585811615,,,,
1639,82,167936,102,0.0645478367805481,0.18763290345668793,81,-0.5894058346748352,0.0002,0.019467545673251152,,,,
1636,83,169984,103,0.16711711883544922,0.1854872703552246,82,-0.5739055871963501,0.0002,-0.034152351319789886,,,,
1632,84,172032,105,0.1771780252456665,0.18338315188884735,83,-0.5789331793785095,0.0002,0.011623849160969257,,,,
1629,85,174080,106,0.059622764587402344,0.19242927432060242,84,-0.5782083868980408,0.0002,-0.033875852823257446,,,,
1626,86,176128,108,0.031196117401123047,0.19504719972610474,85,-0.6026285886764526,0.0002,0.009202607907354832,,,,
1623,87,178176,109,0.11446315050125122,0.18799254298210144,86,-0.6271825432777405,0.0002,-0.01992940530180931,,,,
1620,88,180224,111,0.012523829936981201,0.18531721830368042,87,-0.6611883640289307,0.0002,0.021189173683524132,,,,
1617,89,182272,112,0.07744419574737549,0.18983706831932068,88,-0.6382443308830261,0.0002,-0.04352298751473427,,,,
1614,90,184320,114,-0.06058859825134277,0.2032630294561386,89,-0.6289580464363098,0.0002,0.014228194952011108,,,,
1611,91,186368,115,0.01261913776397705,0.1906004697084427,90,-0.5483148097991943,0.0002,-0.02083073928952217,,,,
1608,92,188416,117,0.0229913592338562,0.18779702484607697,91,-0.5163689851760864,0.0002,0.024191847071051598,,,,
1605,93,190464,118,-0.010346531867980957,0.18463043868541718,92,-0.518528163433075,0.0002,-0.023931102827191353,,,,
1602,94,192512,120,0.054637610912323,0.19291603565216064,93,-0.5146171450614929,0.0002,0.010410523042082787,,,,
1598,95,194560,121,-0.04649388790130615,0.1864750236272812,94,-0.5229820609092712,0.0002,-0.02491685375571251,,,,
1595,96,196608,123,-0.003408074378967285,0.19143961369991302,95,-0.49200841784477234,0.0002,0.03169246390461922,,,,
1592,97,198656,124,0.06708943843841553,0.18366624414920807,96,-0.5468267202377319,0.0002,-0.009912787936627865,,,,
1590,98,200704,126,-0.01043093204498291,0.19049130380153656,97,-0.5770533680915833,0.0002,0.02089967392385006,,,,
1586,99,202752,127,0.05262476205825806,0.18655484914779663,98,-0.5772576928138733,0.0002,-0.018624817952513695,,,,
1583,100,204800,129,0.07969474792480469,0.18585434556007385,99,-0.5990896224975586,0.0002,0.0220847949385643,,,,
1580,101,206848,130,0.14245200157165527,0.17973168194293976,100,-0.6145168542861938,0.0002,-0.022660600021481514,,,,
1573,102,208896,132,0.21023881435394287,0.18272556364536285,101,-0.6011284589767456,0.0002,0.009768842719495296,,,,
1569,103,210944,134,0.2017045021057129,0.18512584269046783,102,-0.600807249546051,0.0002,-0.013023870065808296,,,,
1566,104,212992,135,-0.010512113571166992,0.2101236879825592,103,-0.618621826171875,0.0002,0.02248508855700493,,,,
1563,105,215040,137,0.13491380214691162,0.1827985644340515,104,-0.5915015935897827,0.0002,-0.01318373717367649,,,,
1560,106,217088,139,-0.03408515453338623,0.19034196436405182,105,-0.6470128297805786,0.0002,0.021091625094413757,,,,
1556,107,219136,140,-0.05161118507385254,0.18689392507076263,106,-0.6589152812957764,0.0002,-0.014906362630426884,,,,
1553,108,221184,142,0.028283119201660156,0.1875719577074051,107,-0.7039185762405396,0.0002,0.03331759572029114,,,,
1549,109,223232,144,-0.028982877731323242,0.18171027302742004,108,-0.7022287845611572,0.0002,-0.031154047697782516,,,,
